State,Pop 2022,Pop2021,density,No of Deaths,Death Rate
Alabama,4949697,4934193,97.7332,19545,0.394872656
Alaska,720763,724357,1.2631,1072,0.148731275
Arizona,7640796,7520103,67.2641,30090,0.393807137
Arkansas,3042017,3033946,58.461,11089,0.364527877
California,39664128,39613493,254.6179,89255,0.225027007
Colorado,5961083,5893634,57.5161,12100,0.20298325
Connecticut,3546588,3552821,732.4634,10834,0.3054767
Delaware,998619,990334,512.3751,2896,0.290000491
District of Columbia,718355,714153,11776.3115,1335,0.185841262
Florida,22177997,21944577,413.5757,73822,0.332861439
Georgia,10936299,10830007,190.1535,37193,0.340087629
Hawaii,1401709,1406430,218.2328,1395,0.09952137
Idaho,1896652,1860123,22.9499,4922,0.259509915
Illinois,12518071,12569321,225.4736,37859,0.302434776
Indiana,6842385,6805663,190.9894,23535,0.343959014
Iowa,3174426,3167974,56.8313,9510,0.29958172
Kansas,2919179,2917224,35.7047,8597,0.294500611
Kentucky,4487233,4480713,113.6411,15375,0.342638771
Louisiana,4616106,4627002,106.8444,17223,0.373106683
Maine,1359677,1354522,44.0838,2280,0.167686884
Maryland,6075314,6065436,625.8694,14425,0.237436287
Massachusetts,6922107,6912239,887.4496,24001,0.346729688
Michigan,9995212,9992427,176.7844,30435,0.304495793
Minnesota,5739781,5706398,72.0834,12553,0.218701724
Mississippi,2961536,2966407,63.1148,11180,0.377506807
Missouri,6184843,6169038,89.9718,17534,0.283499516
Montana,1093117,1085004,7.5105,3236,0.296034185
Nebraska,1960790,1951996,25.5231,3802,0.193901438
Nevada,3238601,3185786,29.5006,10115,0.312326217
New Hampshire,1378449,1372203,153.965,2475,0.179549624
New Jersey,8870685,8874520,1206.2395,31547,0.355632062
New Mexico,2109093,2105005,17.3877,7225,0.342564316
New York,19223191,19299981,407.9105,27712,0.144159209
North Carolina,10807491,10701022,222.294,23363,0.216174133
North Dakota,774008,770026,11.2173,2261,0.292115844
Ohio,11727377,11714618,287.0066,34597,0.295010555
Oklahoma,4007179,3990443,58.4179,13175,0.328784913
Oregon,4325290,4289439,45.0607,7477,0.172867022
Pennsylvania,12805190,12804123,286.1943,44592,0.348233802
Puerto Rico,3194714,3194374,923.5947,4179,0.130809831
Rhode Island,1062583,1061509,1027.6431,#N/A,#N/A
South Carolina,5342388,5277830,177.7182,17734,0.331948934
South Dakota,902542,896581,11.9052,2901,0.321425485
Tennessee,7001803,6944260,169.8024,23616,0.337284554
Texas,30097526,29730311,115.2138,86468,0.287292716
Utah,3363182,3310774,40.9296,4730,0.14064062
Vermont,622882,623251,67.5797,596,0.095684255
Virginia,8638218,8603985,218.7444,19984,0.231344011
Washington,7887965,7796941,118.6945,12657,0.160459637
West Virginia,1755715,1767859,73.0391,6770,0.38559789
Wisconsin,5867518,5852490,108.3407,14403,0.245470061
Wyoming,582233,581075,5.9967,1807,0.31035685
