submission_date,state - 2,tot_cases,new_case,tot_death,conf_death,new_death,State
12/1/2021,ND,163565,589,1907,,9,NORTH DAKOTA
8/17/2020,MD,100715,503,3765,3616,3,MARYLAND
3/28/2022,VT,107785,467,585,,0,VERMONT
3/18/2020,ME,44,12,0,0,0,MAINE
5/13/2020,VT,855,2,52,,0,VERMONT
4/21/2022,ID,445350,0,4918,4007,0,IDAHO
2/2/2021,IL,1130917,2304,21336,19306,63,ILLINOIS
12/29/2021,NC,1656034,15021,19720,17351,33,NORTH CAROLINA
4/28/2020,MI,51401,1218,4310,4065,105,MICHIGAN
5/3/2020,NH,2518,89,86,,2,NEW HAMPSHIRE
12/25/2021,MS,525502,0,10393,6958,0,MISSISSIPPI
5/15/2021,NV,320719,180,5530,,0,NEVADA
4/11/2021,WA,376289,1473,5322,,0,WASHINGTON
5/16/2020,MI,81494,702,5444,5150,31,MICHIGAN
4/5/2020,WI,2267,155,68,,12,WISCONSIN
2/2/2020,GU,0,0,0,,0,GUAM
4/1/2021,MI,805607,6669,17332,16289,27,MICHIGAN
5/15/2020,CT,36085,621,3285,2524,66,CONNECTICUT
9/16/2020,WI,98440,1502,1237,1228,8,WISCONSIN
1/30/2022,MI,2235180,0,32197,29778,0,MICHIGAN
8/22/2020,IN,85317,1000,3205,2995,10,INDIANA
12/20/2021,MD,621983,1184,11553,11320,20,MARYLAND
9/8/2021,NV,399234,1446,6637,,33,NEVADA
6/9/2021,ND,110351,53,1517,,0,NORTH DAKOTA
1/30/2020,MI,0,0,0,,0,MICHIGAN
5/11/2020,CT,33765,211,3008,2294,41,CONNECTICUT
3/27/2020,IN,981,336,0,0,0,INDIANA
2/20/2022,MD,998136,1089,14011,13749,8,MARYLAND
6/3/2021,VT,22687,6,249,,1,VERMONT
10/1/2021,MO,823346,1724,11522,,7,MISSOURI
10/5/2021,ID,263294,1835,2993,2532,11,IDAHO
12/8/2020,MS,173907,2476,4705,3820,42,MISSISSIPPI
3/31/2021,ND,103299,208,1466,,0,NORTH DAKOTA
4/22/2022,NV,717368,340,10728,,-226,NEVADA
3/9/2020,WI,1,0,0,,0,WISCONSIN
5/1/2021,IL,1337868,2813,24330,21992,39,ILLINOIS
12/13/2020,VT,5409,109,102,,4,VERMONT
4/12/2021,MO,574786,792,8867,,6,MISSOURI
10/5/2020,WI,141655,1727,1392,1381,4,WISCONSIN
10/19/2020,MO,171619,2839,3076,,34,MISSOURI
10/23/2021,NV,445677,0,7523,,0,NEVADA
6/24/2021,VT,22815,7,249,,0,VERMONT
5/9/2021,VT,22002,24,245,,0,VERMONT
7/9/2021,MO,631603,1639,9387,,4,MISSOURI
9/11/2020,ID,34950,333,412,375,5,IDAHO
9/13/2020,DE,18845,134,617,545,4,DELAWARE
11/2/2021,ME,106022,576,1179,1091,0,MAINE
4/14/2022,NE,478479,61,4191,3432,0,NEBRASKA
9/9/2021,WI,751195,2095,8589,7717,32,WISCONSIN
3/20/2022,MT,272105,0,3234,3234,0,MONTANA
12/2/2020,ME,14641,511,220,218,2,MAINE
1/21/2021,MS,263617,2060,6443,4613,34,MISSISSIPPI
12/11/2021,AL,851420,310,16526,12841,8,ALABAMA
2/28/2022,CA,8960997,19492,84700,,708,CALIFORNIA
11/16/2021,VT,41905,171,382,,1,VERMONT
12/24/2020,DE,53325,801,888,788,16,DELAWARE
10/3/2020,WA,90670,819,2142,,-1,WASHINGTON
1/8/2022,ND,181576,930,2029,,1,NORTH DAKOTA
8/2/2021,WI,689285,697,8295,7443,3,WISCONSIN
7/27/2021,CA,3976872,7731,63811,63811,5,CALIFORNIA
2/24/2020,MO,0,0,0,,0,MISSOURI
11/25/2021,MD,581611,1115,11173,10942,8,MARYLAND
5/24/2021,VT,22585,20,248,,0,VERMONT
2/14/2022,MS,781436,4719,11652,7702,94,MISSISSIPPI
8/25/2020,MD,105046,377,3827,3674,1,MARYLAND
3/8/2021,MO,555805,815,8640,,10,MISSOURI
1/22/2020,ME,0,0,0,0,0,MAINE
3/28/2020,AL,794,117,27,24,5,ALABAMA
10/3/2020,CT,58297,0,4513,3614,0,CONNECTICUT
5/27/2021,GU,8156,2,139,,0,GUAM
4/2/2022,NC,2634326,562,23338,20351,2,NORTH CAROLINA
12/22/2021,NV,487836,1165,8354,,15,NEVADA
3/29/2020,NV,920,182,15,,1,NEVADA
11/3/2020,ND,48301,1114,568,,12,NORTH DAKOTA
2/13/2021,WA,326973,897,4675,,0,WASHINGTON
9/15/2021,CA,4574136,7760,67001,67001,188,CALIFORNIA
9/15/2020,NC,189856,1266,3406,3377,40,NORTH CAROLINA
11/8/2020,DE,26595,316,718,631,2,DELAWARE
8/1/2021,WA,474313,655,6124,,1,WASHINGTON
7/26/2021,IL,1411821,1298,25881,23409,6,ILLINOIS
7/16/2021,AL,556924,861,11612,9271,6,ALABAMA
8/23/2021,NV,381766,1022,6306,,10,NEVADA
4/13/2022,MO,1415467,0,20141,,0,MISSOURI
4/18/2022,MO,1417911,0,20241,,0,MISSOURI
4/18/2020,MT,426,4,10,,2,MONTANA
10/7/2021,AL,802223,1102,15604,12132,35,ALABAMA
10/4/2020,WI,139928,1926,1388,1377,5,WISCONSIN
2/26/2022,NH,297729,0,2373,,0,NEW HAMPSHIRE
7/3/2021,MD,462535,96,9790,9573,2,MARYLAND
12/5/2020,CA,1311625,25068,19808,19808,126,CALIFORNIA
8/18/2021,GU,9200,82,144,,0,GUAM
9/5/2020,IN,98961,1077,3343,3129,12,INDIANA
4/4/2021,MT,105142,105,1466,1466,1,MONTANA
2/20/2022,DE,256228,135,2695,2459,0,DELAWARE
4/9/2020,DE,1219,116,23,23,4,DELAWARE
8/28/2020,WA,73644,616,1905,,15,WASHINGTON
6/26/2020,NH,5638,0,357,,0,NEW HAMPSHIRE
7/9/2021,NC,1008786,720,13677,12060,4,NORTH CAROLINA
5/1/2021,WI,661209,759,7569,6841,19,WISCONSIN
5/14/2021,MS,315681,194,7374,5088,1,MISSISSIPPI
3/30/2021,DE,94687,183,1559,1420,7,DELAWARE
10/5/2020,NE,48314,456,503,,2,NEBRASKA
9/13/2020,NV,73766,317,1487,,3,NEVADA
4/1/2021,AL,515437,438,10984,8774,11,ALABAMA
8/5/2020,NH,6719,26,418,,0,NEW HAMPSHIRE
7/19/2020,ND,5126,107,93,,1,NORTH DAKOTA
2/15/2022,MD,994577,924,13965,13705,40,MARYLAND
5/2/2020,MI,56292,686,4646,4391,61,MICHIGAN
1/25/2021,NH,62768,431,990,,3,NEW HAMPSHIRE
8/14/2021,WA,509640,3221,6242,,3,WASHINGTON
12/24/2020,MD,260728,2866,5931,5744,42,MARYLAND
3/11/2021,DE,90235,183,1494,1358,2,DELAWARE
6/7/2021,CA,3690868,874,62473,62473,3,CALIFORNIA
8/22/2020,WI,74726,975,1089,1081,14,WISCONSIN
8/31/2020,NC,170305,1098,2981,2969,25,NORTH CAROLINA
12/27/2020,NC,520638,2786,7563,7033,72,NORTH CAROLINA
7/20/2021,MI,1008723,530,21149,19885,4,MICHIGAN
12/13/2020,WA,206945,3560,2879,,0,WASHINGTON
3/9/2021,MI,704211,2222,16784,15789,11,MICHIGAN
3/18/2022,AL,1291015,235,19421,14917,11,ALABAMA
6/22/2021,ID,194367,118,2140,1865,4,IDAHO
2/19/2021,WI,610974,919,6852,6267,36,WISCONSIN
7/6/2020,WA,36678,1247,1370,,11,WASHINGTON
9/7/2020,GU,1619,0,14,,0,GUAM
1/27/2020,NV,0,0,0,,0,NEVADA
1/7/2022,VI,12138,305,89,,0,VIRGIN ISLANDS
5/22/2021,MO,596262,293,9006,,0,MISSOURI
11/26/2021,VI,7490,0,85,,0,VIRGIN ISLANDS
3/25/2020,CT,875,257,19,,7,CONNECTICUT
8/19/2020,MO,76313,1401,1672,,14,MISSOURI
8/11/2020,IN,75862,870,3051,2852,24,INDIANA
3/6/2020,ND,0,0,0,,0,NORTH DAKOTA
1/2/2021,WA,251651,4073,3461,,0,WASHINGTON
3/28/2022,CT,735210,1014,10759,8812,0,CONNECTICUT
8/3/2021,VI,4691,28,39,,0,VIRGIN ISLANDS
9/20/2020,MO,119719,653,2274,,30,MISSOURI
2/26/2020,IL,2,0,0,,0,ILLINOIS
11/21/2021,NC,1512479,1635,18860,16596,19,NORTH CAROLINA
5/11/2021,ME,64828,262,798,772,1,MAINE
11/4/2020,MD,148766,1000,4323,4161,13,MARYLAND
9/14/2021,MO,791832,2743,11022,,12,MISSOURI
10/18/2021,ND,142407,923,1690,,10,NORTH DAKOTA
7/13/2020,IN,52037,425,2746,2561,2,INDIANA
2/26/2022,AL,1279157,340,19103,14683,25,ALABAMA
5/27/2020,VI,69,0,6,,0,VIRGIN ISLANDS
9/30/2020,ME,5370,39,142,141,1,MAINE
4/16/2021,IL,1296381,3866,23920,21630,24,ILLINOIS
2/21/2020,IN,0,0,0,,0,INDIANA
2/6/2020,ID,0,0,0,,0,IDAHO
3/31/2021,WI,636041,727,7315,6622,23,WISCONSIN
2/24/2021,NV,292059,516,4919,,16,NEVADA
2/19/2021,NC,834280,3217,12040,10665,34,NORTH CAROLINA
5/8/2020,NE,7832,386,92,,2,NEBRASKA
11/22/2020,VT,3513,87,64,,1,VERMONT
8/12/2020,NV,58270,525,1024,,15,NEVADA
9/13/2020,MI,220852,819,6942,6618,8,MICHIGAN
3/18/2022,MD,1008536,358,14293,14029,7,MARYLAND
10/8/2020,MT,16677,614,197,197,4,MONTANA
9/17/2020,NV,74786,344,1541,,12,NEVADA
6/25/2020,MI,118901,1488,6269,5962,9,MICHIGAN
6/30/2020,MI,125203,1703,6309,6002,6,MICHIGAN
5/4/2020,NE,6068,431,78,,0,NEBRASKA
7/27/2021,MS,339954,1875,7710,5318,13,MISSISSIPPI
12/6/2020,WA,182526,1983,2925,,0,WASHINGTON
2/24/2020,NH,0,0,0,,0,NEW HAMPSHIRE
8/25/2020,ND,10467,238,138,,0,NORTH DAKOTA
1/28/2022,NE,435358,0,3666,3037,0,NEBRASKA
8/15/2021,ND,113330,53,1545,,0,NORTH DAKOTA
4/14/2022,ME,239648,519,2276,2050,0,MAINE
10/21/2020,NV,92064,472,1732,,-42,NEVADA
5/5/2021,MT,109455,140,1578,1578,1,MONTANA
11/29/2021,MS,513622,202,10264,6871,1,MISSISSIPPI
6/10/2020,ID,3260,40,85,65,0,IDAHO
9/25/2020,WA,86270,1016,2100,,20,WASHINGTON
11/7/2021,DE,144898,298,2119,1941,0,DELAWARE
9/12/2021,ID,233907,330,2472,2133,0,IDAHO
9/17/2020,ID,36489,396,434,396,5,IDAHO
8/2/2021,IL,1425219,1870,25930,23451,6,ILLINOIS
11/25/2021,ID,305133,0,3891,3207,0,IDAHO
9/19/2020,VT,1575,3,57,,0,VERMONT
12/10/2020,ND,87213,506,1130,,27,NORTH DAKOTA
6/11/2021,CA,3694498,1136,62593,62593,55,CALIFORNIA
3/29/2020,ID,310,49,6,,1,IDAHO
11/4/2021,NC,1482005,2002,18552,16326,20,NORTH CAROLINA
3/3/2021,DE,88600,251,1440,1304,14,DELAWARE
10/31/2020,MI,309045,2944,7797,7430,35,MICHIGAN
1/26/2022,MT,233056,3090,2990,2990,3,MONTANA
11/1/2020,MT,33495,694,376,376,1,MONTANA
3/26/2022,AL,1294144,90,19477,14956,5,ALABAMA
12/17/2020,GU,7193,10,119,,0,GUAM
7/8/2021,WI,678459,227,8158,7335,4,WISCONSIN
7/2/2021,MD,462439,85,9788,9571,5,MARYLAND
6/15/2020,AL,26449,302,1093,1017,17,ALABAMA
2/25/2021,ND,99711,90,1442,,1,NORTH DAKOTA
